,resource_id,sg_dep_median,sg_dep_cat,identity,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
32,50,3.0,high,1.0,59848ba5-82a3-4de3-b546-44d37605c0d9,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,15022023JOSB07,josina_machel,m,diving,fish
206,50,3.0,high,0.0666666666666666,8407b1b2-9c62-4161-a560-a8c8415ca76a,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,08022023MADB06,madava,m,gill_net,fish
236,50,3.0,high,1.0,8536dca4-ea83-4248-865b-3b13873d1a90,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,09032023NHCHB07,nhamaxaxa,m,hand_line,fish
266,50,3.0,high,0.2666666666666666,04827c1d-3bba-4bcb-a8be-1af1c071e30f,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,01022023MORB02,morrumbene,f,glean,glean
201,50,3.0,high,0.2333333333333333,6aff3bd5-1d7f-4dfc-a530-7fd33a3b1432,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,08022023MADB05,madava,m,gill_net,fish
292,50,3.0,high,0.1666666666666666,b4a29a62-c0e1-40fd-835b-a134449801ca,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,O1O22023MOR06,morrumbene,m,drag_net,fish
196,50,3.0,high,0.2333333333333333,719608f1-9b88-42cc-b983-888cd656656a,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,08022023MADB04,madava,f,glean,glean
195,50,3.0,high,0.2333333333333333,719608f1-9b88-42cc-b983-888cd656656a,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,08022023MADB04,madava,f,shrimp_net,shrimp_net
165,50,3.0,high,0.1333333333333333,a00016e0-0782-4f50-a9a8-4a5e202f5c50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,09022023NHMPB02,nhampossa,m,gill_net,fish
25,50,3.0,high,1.0,3e185060-4034-4ece-9bd3-fa7aad0a4c83,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,15022023JOSB03,josina_machel,m,glean,glean
119,50,3.0,high,0.2666666666666666,a9a9124d-f801-444e-a6ac-6f1064ecb6a6,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,02022023MARB06,marrambone,m,hand_line,fish
307,50,3.0,high,0.5,c0927898-6afe-4a7f-98d1-4ec395b0e647,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,1902023ILHB06,ilha,f,shrimp_net,shrimp_net
175,50,3.0,high,0.2333333333333333,caac8748-ebed-413c-a5d2-a635b5bd8932,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,09022023NHMPB04,nhampossa,m,fence_trap,fish
