,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,cap_income_hot,cap_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat
228,10,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,none,6666.666666666667,15000.0,0.5763688760806917,0.539568345323741,08032023MORB08,morrumbene,m,hand_line,fish
218,10,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,none,34125.0,12600.0,0.5392699115044248,0.29532403609515995,O1O22023MOR06,morrumbene,m,drag_net,fish
223,10,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,none,9450.0,3300.0,0.19554421299489586,0.5235878993018829,01022023MORB07,morrumbene,m,drag_net,fish
239,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,500.0,7000.0,0.035868005738880916,0.9328358208955224,1902023ILHB06,ilha,f,glean,glean
241,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0,900.0,0.0,0.05870177757679062,19022023ILHB08,ilha,f,glean,glean
186,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,300.0,1800.0,0.7894736842105263,0.9782608695652174,04032023NGUB02,nguja,f,glean,glean
143,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,1100.0,1320.0,0.04185161699429296,0.1348773841961853,08022023MADB06,madava,m,gill_net,fish
205,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0,0.0,0.0,0.0,01022023MORB03,morrumbene,f,shrimp_net,shrimp_net
187,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,2533.333333333333,608.0,1.0,1.0,04032023NGUB03,nguja,f,glean,glean
206,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0,0.0,0.0,0.0,01022023MORB03,morrumbene,f,glean,glean
182,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,9720.0,9100.0,1.0,1.0,14022023SAHB08,sahane,m,fence_trap,fish
132,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,1280.0,1333.3333333333333,0.12352032938754504,0.2498750624687656,08022023MADB04,madava,f,glean,glean
138,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,3519.9999999999995,12671.999999999998,0.02984441900886006,0.33578292820802713,08022023MADB05,madava,m,gill_net,fish
