,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,prop_cap_hot,prop_cap_cold,cap_monthly_hot,cap_monthly_cold,id,ccp,gender,fish_pract,pract_cat
24,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.8,0.6666666666666666,80.0,24.0,15022023JOSB03,josina_machel,m,glean,glean
207,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2,0.2666666666666666,160.0,40.0,01022023MORBO5,morrumbene,m,fence_trap,fish
175,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.7666666666666667,0.0666666666666666,360.0,210.0,14022023SAHB08,sahane,m,fence_trap,fish
168,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.8333333333333334,0.8333333333333334,90.0,110.0,14022023SAHB03,sahane,f,glean,glean
22,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.6333333333333333,0.6666666666666666,260.0,312.0,15022023JOSB02,josina_machel,m,diving,fish
132,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2,0.2666666666666666,96.0,216.0,08022023MADB05,madava,m,gill_net,fish
202,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1666666666666666,0.5,6.0,3.0,01022023MOR04,morrumbene,f,glean,glean
198,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0333333333333333,0.1333333333333333,3.75,1.5,01022023MORB03,morrumbene,f,shrimp_net,shrimp_net
179,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.6666666666666666,0.6666666666666666,9.0,72.0,04032023NGUB02,nguja,f,glean,glean
193,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2666666666666666,0.1666666666666666,2.0,2.0,01022023MORB01,morrumbene,m,shrimp_net,shrimp_net
137,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2,0.3333333333333333,100.0,72.0,08022023MADB06,madava,m,gill_net,fish
180,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.6,0.3333333333333333,80.0,24.0,04032023NGUB03,nguja,f,glean,glean
162,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1,0.1,12.0,16.0,09032023NHCHB08,nhamaxaxa,f,shrimp_net,shrimp_net
191,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.3333333333333333,0.6666666666666666,8.0,16.0,04032023NGUB07,nguja,f,shrimp_net,shrimp_net
189,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2666666666666666,0.2333333333333333,12.0,8.0,04032023NGUB06,nguja,m,gill_net,fish
7,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2333333333333333,0.1666666666666666,150.0,150.0,13022023NHMUB01,nhamua,m,fence_trap,fish
158,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0666666666666666,0.0666666666666666,8.0,,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
11,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1,0.2,120.0,8.0,13022023NHMUB03,nhamua,m,gill_net,fish
143,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1,0.2333333333333333,14.0,14.0,08022023MADB08,madava,f,shrimp_net,shrimp_net
258,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1666666666666666,0.2333333333333333,36.0,336.0,07022023CUGB05,kuguana,m,drag_net,fish
19,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0333333333333333,0.0333333333333333,6.0,6.0,15022023JOSB01,josina_machel,m,gill_net,fish
126,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1666666666666666,0.1666666666666666,64.0,40.0,08022023MADB04,madava,f,shrimp_net,shrimp_net
231,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1666666666666666,0.8333333333333334,20.0,160.0,1902023ILHB06,ilha,f,glean,glean
0,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,1.0,1.0,8.0,8.0,13022023NHAMUB02,nhamua,f,glean,glean
246,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1333333333333333,0.2333333333333333,40.0,375.0,24012023CUGB02,kuguana,m,gill_net,fish
52,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0666666666666666,0.0,36.0,,04022023CHAB07,chamane,m,gill_net,fish
