,resource_id,sg_dep_median,sg_dep_cat,social,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
217,04,3.0,high,0.3333333333333333,ba1de70c-3350-4192-9540-077338da9ce6,pata,dzipata,peixe zebras,Terapon jarbua,Teraponidae,bony fish,fish,1.0,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
231,04,3.0,high,0.6666666666666666,a6e2b0b2-8d88-42c8-b600-7b0619713312,pata,dzipata,peixe zebras,Terapon jarbua,Teraponidae,bony fish,fish,1.0,04032023NGUB01,nguja,m,hand_line,fish
224,06,2.5,mod,0.5,f1ab0d58-a047-4854-9fab-5639a38d0919,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,14022023SAHB02,sahane,m,hand_line,fish
10,06,2.5,mod,0.1666666666666666,1205bf41-13d7-4421-b564-4a77c527cd17,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,13022023NHMUB01,nhamua,m,fence_trap,fish
39,06,2.5,mod,0.1666666666666666,e6132e33-e9f3-45ea-a5cf-7d565844a22c,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,15022023JOSB06,josina_machel,m,hand_line,fish
31,06,2.5,mod,0.5,c440707b-35aa-4bca-abca-50c81f169c89,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,15022023JOSB01,josina_machel,m,gill_net,fish
146,06,2.5,mod,0.0333333333333333,72b20ec3-78b0-44b1-8f62-06504a26e4c5,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,31012023MUCB06,mucucune,m,gill_net,fish
164,06,2.5,mod,0.0666666666666666,caac8748-ebed-413c-a5d2-a635b5bd8932,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,09022023NHMPB04,nhampossa,m,fence_trap,fish
116,06,2.5,mod,0.3,c4bf73af-5f99-4b43-abd8-9373a369c415,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,02022023MARB07,marrambone,m,gill_net,fish
130,06,2.5,mod,0.1333333333333333,b1aecc22-d28c-4728-9c70-966d76a26e88,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,31012023MUB02,mucucune,m,fence_trap,fish
98,06,2.5,mod,0.0666666666666666,fa135abb-d0cf-4f86-81fa-d786fd8a957a,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,shrimp_net,shrimp_net
99,06,2.5,mod,0.0666666666666666,fa135abb-d0cf-4f86-81fa-d786fd8a957a,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,gill_net,fish
281,06,2.5,mod,0.3666666666666666,f5769b1d-ab41-4ec3-9364-13194af91f08,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,19022023ILHB05,ilha,m,hand_line,fish
156,06,2.5,mod,0.2333333333333333,a00016e0-0782-4f50-a9a8-4a5e202f5c50,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,09022023NHMPB02,nhampossa,m,gill_net,fish
106,06,2.5,mod,0.1333333333333333,e8d84b41-6838-4a4d-b98d-66385c122993,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,02022023MARB05,marrambone,m,fence_trap,fish
